idx;txt
14;\textcolor[rgb]{0.385,0.079,0.433}{The} \textcolor[rgb]{0.827,0.280,0.262}{image} \textcolor[rgb]{0.689,0.192,0.358}{features} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.689,0.192,0.358}{porcelain} \textcolor[rgb]{0.978,0.558,0.035}{teapot} \textcolor[rgb]{0.923,0.399,0.155}{with} \textcolor[rgb]{0.978,0.558,0.035}{a} \textcolor[rgb]{0.827,0.280,0.262}{floral} \textcolor[rgb]{0.923,0.399,0.155}{pattern} \textcolor[rgb]{0.689,0.192,0.358}{and} \textcolor[rgb]{0.077,0.042,0.206}{a} \textcolor[rgb]{0.689,0.192,0.358}{handle,} \textcolor[rgb]{0.923,0.399,0.155}{set} \textcolor[rgb]{0.827,0.280,0.262}{against} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.541,0.135,0.415}{plain} \textcolor[rgb]{0.923,0.399,0.155}{background.}
15;\textcolor[rgb]{0.923,0.399,0.155}{A} \textcolor[rgb]{0.827,0.280,0.262}{wooden} \textcolor[rgb]{0.385,0.079,0.433}{shed} \textcolor[rgb]{0.541,0.135,0.415}{with} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.923,0.399,0.155}{ted} \textcolor[rgb]{0.541,0.135,0.415}{roof} \textcolor[rgb]{0.923,0.399,0.155}{is} \textcolor[rgb]{0.689,0.192,0.358}{situated} \textcolor[rgb]{0.923,0.399,0.155}{in} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.541,0.135,0.415}{garden} \textcolor[rgb]{0.689,0.192,0.358}{with} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.978,0.558,0.035}{garden} \textcolor[rgb]{0.923,0.399,0.155}{and} \textcolor[rgb]{0.978,0.558,0.035}{trees} \textcolor[rgb]{0.827,0.280,0.262}{in} \textcolor[rgb]{0.923,0.399,0.155}{the} \textcolor[rgb]{0.689,0.192,0.358}{background.}
16;\textcolor[rgb]{0.238,0.037,0.396}{A} \textcolor[rgb]{0.385,0.079,0.433}{green} \textcolor[rgb]{0.923,0.399,0.155}{car} \textcolor[rgb]{0.689,0.192,0.358}{is} \textcolor[rgb]{0.541,0.135,0.415}{parked} \textcolor[rgb]{0.689,0.192,0.358}{on} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.923,0.399,0.155}{gravel} \textcolor[rgb]{0.827,0.280,0.262}{surface} \textcolor[rgb]{0.689,0.192,0.358}{with} \textcolor[rgb]{0.923,0.399,0.155}{bare} \textcolor[rgb]{0.541,0.135,0.415}{trees} \textcolor[rgb]{0.978,0.558,0.035}{in} \textcolor[rgb]{0.827,0.280,0.262}{the} \textcolor[rgb]{0.689,0.192,0.358}{background.}
17;\textcolor[rgb]{0.238,0.037,0.396}{Two} \textcolor[rgb]{0.689,0.192,0.358}{glasses} \textcolor[rgb]{0.541,0.135,0.415}{filled} \textcolor[rgb]{0.827,0.280,0.262}{with} \textcolor[rgb]{0.385,0.079,0.433}{pink} \textcolor[rgb]{0.541,0.135,0.415}{smoothie} \textcolor[rgb]{0.689,0.192,0.358}{are} \textcolor[rgb]{0.827,0.280,0.262}{placed} \textcolor[rgb]{0.923,0.399,0.155}{on} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.689,0.192,0.358}{marble} \textcolor[rgb]{0.541,0.135,0.415}{surface} \textcolor[rgb]{0.689,0.192,0.358}{with} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.978,0.558,0.035}{few} \textcolor[rgb]{0.689,0.192,0.358}{scattered} \textcolor[rgb]{0.923,0.399,0.155}{strawberries} \textcolor[rgb]{0.827,0.280,0.262}{scattered} \textcolor[rgb]{0.827,0.280,0.262}{around} \textcolor[rgb]{0.978,0.558,0.035}{it.}
18;\textcolor[rgb]{0.689,0.192,0.358}{The} \textcolor[rgb]{0.923,0.399,0.155}{image} \textcolor[rgb]{0.385,0.079,0.433}{shows} \textcolor[rgb]{0.923,0.399,0.155}{a} \textcolor[rgb]{0.541,0.135,0.415}{gray} \textcolor[rgb]{0.827,0.280,0.262}{onesie} \textcolor[rgb]{0.827,0.280,0.262}{laid} \textcolor[rgb]{0.238,0.037,0.396}{out} \textcolor[rgb]{0.385,0.079,0.433}{on} \textcolor[rgb]{0.827,0.280,0.262}{a} \textcolor[rgb]{0.689,0.192,0.358}{wooden} \textcolor[rgb]{0.923,0.399,0.155}{surface,} \textcolor[rgb]{0.541,0.135,0.415}{accompanied} \textcolor[rgb]{0.385,0.079,0.433}{by} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.827,0.280,0.262}{bouquet} \textcolor[rgb]{0.923,0.399,0.155}{of} \textcolor[rgb]{0.689,0.192,0.358}{yellow} \textcolor[rgb]{0.923,0.399,0.155}{flowers} \textcolor[rgb]{0.978,0.558,0.035}{and} \textcolor[rgb]{0.923,0.399,0.155}{balls.}
19;\textcolor[rgb]{0.238,0.037,0.396}{A} \textcolor[rgb]{0.923,0.399,0.155}{pile} \textcolor[rgb]{0.541,0.135,0.415}{of} \textcolor[rgb]{0.827,0.280,0.262}{pink} \textcolor[rgb]{0.689,0.192,0.358}{buttons} \textcolor[rgb]{0.978,0.558,0.035}{is} \textcolor[rgb]{0.385,0.079,0.433}{scattered} \textcolor[rgb]{0.541,0.135,0.415}{on} \textcolor[rgb]{0.238,0.037,0.396}{a} \textcolor[rgb]{0.541,0.135,0.415}{white} \textcolor[rgb]{0.827,0.280,0.262}{surface.}
20;\textcolor[rgb]{0.238,0.037,0.396}{A} \textcolor[rgb]{0.978,0.558,0.035}{smiling} \textcolor[rgb]{0.689,0.192,0.358}{woman} \textcolor[rgb]{0.385,0.079,0.433}{is} \textcolor[rgb]{0.689,0.192,0.358}{wearing} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.978,0.558,0.035}{large} \textcolor[rgb]{0.689,0.192,0.358}{blue} \textcolor[rgb]{0.978,0.558,0.035}{hat} \textcolor[rgb]{0.827,0.280,0.262}{with} \textcolor[rgb]{0.238,0.037,0.396}{a} \textcolor[rgb]{0.541,0.135,0.415}{feather} \textcolor[rgb]{0.978,0.558,0.035}{on} \textcolor[rgb]{0.923,0.399,0.155}{top,} \textcolor[rgb]{0.923,0.399,0.155}{against} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.923,0.399,0.155}{dark} \textcolor[rgb]{0.827,0.280,0.262}{background.}
21;\textcolor[rgb]{0.923,0.399,0.155}{The} \textcolor[rgb]{0.689,0.192,0.358}{image} \textcolor[rgb]{0.978,0.558,0.035}{features} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.541,0.135,0.415}{spiral-bound} \textcolor[rgb]{0.541,0.135,0.415}{notebook} \textcolor[rgb]{0.923,0.399,0.155}{with} \textcolor[rgb]{0.077,0.042,0.206}{a} \textcolor[rgb]{0.541,0.135,0.415}{floral} \textcolor[rgb]{0.689,0.192,0.358}{pattern} \textcolor[rgb]{0.923,0.399,0.155}{and} \textcolor[rgb]{0.978,0.558,0.035}{flowers,} \textcolor[rgb]{0.923,0.399,0.155}{set} \textcolor[rgb]{0.541,0.135,0.415}{against} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.923,0.399,0.155}{white} \textcolor[rgb]{0.689,0.192,0.358}{background.}
22;\textcolor[rgb]{0.238,0.037,0.396}{Two} \textcolor[rgb]{0.923,0.399,0.155}{porcelain} \textcolor[rgb]{0.689,0.192,0.358}{dolls} \textcolor[rgb]{0.978,0.558,0.035}{and} \textcolor[rgb]{0.923,0.399,0.155}{green} \textcolor[rgb]{0.978,0.558,0.035}{dress} \textcolor[rgb]{0.385,0.079,0.433}{are} \textcolor[rgb]{0.827,0.280,0.262}{displayed,} \textcolor[rgb]{0.689,0.192,0.358}{posed} \textcolor[rgb]{0.385,0.079,0.433}{against} \textcolor[rgb]{0.238,0.037,0.396}{a} \textcolor[rgb]{0.385,0.079,0.433}{white} \textcolor[rgb]{0.923,0.399,0.155}{background.}
23;\textcolor[rgb]{0.541,0.135,0.415}{A} \textcolor[rgb]{0.385,0.079,0.433}{bouquet} \textcolor[rgb]{0.541,0.135,0.415}{of} \textcolor[rgb]{0.923,0.399,0.155}{assorted} \textcolor[rgb]{0.923,0.399,0.155}{roses,} \textcolor[rgb]{0.689,0.192,0.358}{and} \textcolor[rgb]{0.978,0.558,0.035}{other} \textcolor[rgb]{0.827,0.280,0.262}{flowers} \textcolor[rgb]{0.978,0.558,0.035}{is} \textcolor[rgb]{0.541,0.135,0.415}{in} \textcolor[rgb]{0.978,0.558,0.035}{a} \textcolor[rgb]{0.923,0.399,0.155}{glass} \textcolor[rgb]{0.385,0.079,0.433}{vase} \textcolor[rgb]{0.689,0.192,0.358}{against} \textcolor[rgb]{0.238,0.037,0.396}{a} \textcolor[rgb]{0.827,0.280,0.262}{dark} \textcolor[rgb]{0.689,0.192,0.358}{background.}
24;\textcolor[rgb]{0.978,0.558,0.035}{Amannquin} \textcolor[rgb]{0.827,0.280,0.262}{is} \textcolor[rgb]{0.689,0.192,0.358}{dressed} \textcolor[rgb]{0.541,0.135,0.415}{in} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.827,0.280,0.262}{light} \textcolor[rgb]{0.541,0.135,0.415}{blue} \textcolor[rgb]{0.689,0.192,0.358}{suit} \textcolor[rgb]{0.923,0.399,0.155}{a} \textcolor[rgb]{0.827,0.280,0.262}{suit} \textcolor[rgb]{0.923,0.399,0.155}{with} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.923,0.399,0.155}{bow} \textcolor[rgb]{0.827,0.280,0.262}{tie,} \textcolor[rgb]{0.923,0.399,0.155}{set} \textcolor[rgb]{0.827,0.280,0.262}{against} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.689,0.192,0.358}{white} \textcolor[rgb]{0.923,0.399,0.155}{background.}
25;\textcolor[rgb]{0.238,0.037,0.396}{A} \textcolor[rgb]{0.541,0.135,0.415}{small} \textcolor[rgb]{0.385,0.079,0.433}{wooden} \textcolor[rgb]{0.923,0.399,0.155}{wooden} \textcolor[rgb]{0.541,0.135,0.415}{cabin} \textcolor[rgb]{0.689,0.192,0.358}{with} \textcolor[rgb]{0.827,0.280,0.262}{a} \textcolor[rgb]{0.923,0.399,0.155}{gabed} \textcolor[rgb]{0.541,0.135,0.415}{roof,} \textcolor[rgb]{0.541,0.135,0.415}{surrounded} \textcolor[rgb]{0.689,0.192,0.358}{by} \textcolor[rgb]{0.923,0.399,0.155}{trees.}
26;\textcolor[rgb]{0.238,0.037,0.396}{The} \textcolor[rgb]{0.385,0.079,0.433}{image} \textcolor[rgb]{0.923,0.399,0.155}{features} \textcolor[rgb]{0.077,0.042,0.206}{a} \textcolor[rgb]{0.541,0.135,0.415}{decorative} \textcolor[rgb]{0.827,0.280,0.262}{pendant} \textcolor[rgb]{0.385,0.079,0.433}{with} \textcolor[rgb]{0.827,0.280,0.262}{a} \textcolor[rgb]{0.541,0.135,0.415}{floral} \textcolor[rgb]{0.978,0.558,0.035}{design,} \textcolor[rgb]{0.923,0.399,0.155}{set} \textcolor[rgb]{0.827,0.280,0.262}{against} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.923,0.399,0.155}{black} \textcolor[rgb]{0.689,0.192,0.358}{background.}
27;\textcolor[rgb]{0.238,0.037,0.396}{The} \textcolor[rgb]{0.689,0.192,0.358}{image} \textcolor[rgb]{0.827,0.280,0.262}{features} \textcolor[rgb]{0.077,0.042,0.206}{a} \textcolor[rgb]{0.541,0.135,0.415}{decorative} \textcolor[rgb]{0.689,0.192,0.358}{crown} \textcolor[rgb]{0.923,0.399,0.155}{adorned} \textcolor[rgb]{0.385,0.079,0.433}{with} \textcolor[rgb]{0.827,0.280,0.262}{gemstones,} \textcolor[rgb]{0.923,0.399,0.155}{set} \textcolor[rgb]{0.827,0.280,0.262}{against} \textcolor[rgb]{0.923,0.399,0.155}{a} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.923,0.399,0.155}{white} \textcolor[rgb]{0.689,0.192,0.358}{background.}
28;\textcolor[rgb]{0.689,0.192,0.358}{A} \textcolor[rgb]{0.827,0.280,0.262}{close-up} \textcolor[rgb]{0.827,0.280,0.262}{portrait} \textcolor[rgb]{0.541,0.135,0.415}{of} \textcolor[rgb]{0.923,0.399,0.155}{a} \textcolor[rgb]{0.827,0.280,0.262}{man} \textcolor[rgb]{0.978,0.558,0.035}{wearing} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.541,0.135,0.415}{blue} \textcolor[rgb]{0.689,0.192,0.358}{suit} \textcolor[rgb]{0.827,0.280,0.262}{with} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.827,0.280,0.262}{floral} \textcolor[rgb]{0.978,0.558,0.035}{tie,} \textcolor[rgb]{0.978,0.558,0.035}{set} \textcolor[rgb]{0.923,0.399,0.155}{against} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.978,0.558,0.035}{blurred} \textcolor[rgb]{0.923,0.399,0.155}{natural} \textcolor[rgb]{0.827,0.280,0.262}{background.}
29;\textcolor[rgb]{0.238,0.037,0.396}{The} \textcolor[rgb]{0.923,0.399,0.155}{image} \textcolor[rgb]{0.827,0.280,0.262}{features} \textcolor[rgb]{0.077,0.042,0.206}{a} \textcolor[rgb]{0.541,0.135,0.415}{decorative} \textcolor[rgb]{0.923,0.399,0.155}{Easter} \textcolor[rgb]{0.827,0.280,0.262}{egg} \textcolor[rgb]{0.385,0.079,0.433}{with} \textcolor[rgb]{0.923,0.399,0.155}{a} \textcolor[rgb]{0.541,0.135,0.415}{floral} \textcolor[rgb]{0.827,0.280,0.262}{pattern} \textcolor[rgb]{0.689,0.192,0.358}{and} \textcolor[rgb]{0.978,0.558,0.035}{gold,} \textcolor[rgb]{0.978,0.558,0.035}{set} \textcolor[rgb]{0.827,0.280,0.262}{against} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.827,0.280,0.262}{white} \textcolor[rgb]{0.689,0.192,0.358}{background.}
30;\textcolor[rgb]{0.385,0.079,0.433}{A} \textcolor[rgb]{0.689,0.192,0.358}{blue} \textcolor[rgb]{0.541,0.135,0.415}{car} \textcolor[rgb]{0.923,0.399,0.155}{is} \textcolor[rgb]{0.385,0.079,0.433}{parked} \textcolor[rgb]{0.689,0.192,0.358}{on} \textcolor[rgb]{0.238,0.037,0.396}{a} \textcolor[rgb]{0.923,0.399,0.155}{street} \textcolor[rgb]{0.689,0.192,0.358}{with} \textcolor[rgb]{0.827,0.280,0.262}{trees} \textcolor[rgb]{0.541,0.135,0.415}{in} \textcolor[rgb]{0.689,0.192,0.358}{the} \textcolor[rgb]{0.827,0.280,0.262}{background.}
